TOTALCRIME,C_MONTH,H_YEAR,WARD
65,February,2010,12
72,February,2010,13
81,February,2010,14
155,February,2010,15
193,February,2010,16
184,February,2010,17
104,February,2010,18
49,February,2010,19
203,February,2010,20
172,February,2010,21
66,February,2010,22
66,February,2010,23
219,February,2010,24
84,February,2010,25
103,February,2010,26
194,February,2010,27
283,February,2010,28
139,February,2010,29
78,February,2010,30
69,February,2010,31
90,February,2010,32
64,February,2010,33
179,February,2010,34
71,February,2010,35
68,February,2010,36
170,February,2010,37
60,February,2010,38
56,February,2010,39
65,February,2010,40
43,February,2010,41
237,February,2010,42
65,February,2010,43
55,February,2010,44
48,February,2010,45
85,February,2010,46
59,February,2010,47
45,February,2010,48
56,February,2010,49
57,February,2010,50
86,February,2011,1
178,February,2011,2
142,February,2011,3
78,February,2011,4
135,February,2011,5
174,February,2011,6
130,February,2011,7
139,February,2011,8
113,February,2011,9
94,February,2011,10
60,February,2011,11
76,February,2011,12
83,February,2011,13
96,February,2011,14
150,February,2011,15
151,February,2011,16
173,February,2011,17
76,February,2011,18
49,February,2011,19
191,February,2011,20
151,February,2011,21
63,February,2011,22
63,February,2011,23
204,February,2011,24
60,February,2011,25
83,February,2011,26
168,February,2011,27
224,February,2011,28
113,February,2011,29
91,February,2011,30
74,February,2011,31
93,February,2011,32
54,February,2011,33
156,February,2011,34
74,February,2011,35
67,February,2011,36
166,February,2011,37
51,February,2011,38
48,February,2011,39
41,February,2011,40
59,February,2011,41
205,February,2011,42
41,February,2011,43
81,February,2011,44
54,February,2011,45
39,February,2011,46
56,February,2011,47
68,February,2011,48
80,February,2011,49
54,February,2011,50
84,February,2012,1
210,February,2012,2
135,February,2012,3
88,February,2012,4
127,February,2012,5
202,February,2012,6
145,February,2012,7
164,February,2012,8
134,February,2012,9
102,February,2012,10
73,February,2012,11
62,February,2012,12
61,February,2012,13
89,February,2012,14
167,February,2012,15
158,February,2012,16
211,February,2012,17
106,February,2012,18
48,February,2012,19
160,February,2012,20
166,February,2012,21
64,February,2012,22
64,February,2012,23
206,February,2012,24
69,February,2012,25
90,February,2012,26
172,February,2012,27
296,February,2012,28
135,February,2012,29
89,February,2012,30
77,February,2012,31
80,February,2012,32
60,February,2012,33
165,February,2012,34
64,February,2012,35
59,February,2012,36
165,February,2012,37
57,February,2012,38
53,February,2012,39
72,February,2012,40
62,February,2012,41
210,February,2012,42
56,February,2012,43
58,February,2012,44
47,February,2012,45
81,February,2012,46
42,February,2012,47
61,February,2012,48
77,February,2012,49
55,February,2012,50
83,February,2013,1
171,February,2013,2
142,February,2013,3
55,February,2013,4
105,February,2013,5
194,February,2013,6
112,February,2013,7
123,February,2013,8
123,February,2013,9
75,February,2013,10
60,February,2013,11
59,February,2013,12
47,February,2013,13
78,February,2013,14
120,February,2013,15
151,February,2013,16
157,February,2013,17
74,February,2013,18
36,February,2013,19
147,February,2013,20
160,February,2013,21
80,February,2013,22
71,February,2013,23
228,February,2013,24
71,February,2013,25
84,February,2013,26
178,February,2013,27
240,February,2013,28
96,February,2013,29
91,February,2013,30
75,February,2013,31
66,February,2013,32
57,February,2013,33
119,February,2013,34
68,February,2013,35
55,February,2013,36
145,February,2013,37
52,February,2013,38
38,February,2013,39
56,February,2013,40
40,February,2013,41
178,February,2013,42
54,February,2013,43
63,February,2013,44
58,February,2013,45
66,February,2013,46
43,February,2013,47
42,February,2013,48
82,February,2013,49
55,February,2013,50
76,February,2014,1
179,February,2014,2
102,February,2014,3
64,February,2014,4
80,February,2014,5
120,February,2014,6
124,February,2014,7
94,February,2014,8
100,February,2014,9
71,February,2014,10
57,February,2014,11
51,February,2014,12
64,February,2014,13
60,February,2014,14
107,February,2014,15
130,February,2014,16
127,February,2014,17
59,February,2014,18
29,February,2014,19
116,February,2014,20
120,February,2014,21
56,February,2014,22
55,February,2014,23
177,February,2014,24
51,February,2014,25
56,February,2014,26
151,February,2014,27
223,February,2014,28
86,February,2014,29
51,February,2014,30
64,February,2014,31
69,February,2014,32
38,February,2014,33
116,February,2014,34
44,February,2014,35
44,February,2014,36
99,February,2014,37
49,February,2014,38
57,February,2014,39
49,February,2014,40
55,February,2014,41
189,February,2014,42
57,February,2014,43
58,February,2014,44
54,February,2014,45
57,February,2014,46
48,February,2014,47
41,February,2014,48
39,February,2014,49
44,February,2014,50
