"TOTALCRIME","C_MONTH","H_YEAR","WARD"
94,"September","2009",22
101,"September","2009",23
268,"September","2009",24
99,"September","2009",25
154,"September","2009",26
290,"September","2009",27
338,"September","2009",28
186,"September","2009",29
116,"September","2009",30
143,"September","2009",31
153,"September","2009",32
87,"September","2009",33
225,"September","2009",34
102,"September","2009",35
84,"September","2009",36
241,"September","2009",37
78,"September","2009",38
62,"September","2009",39
79,"September","2009",40
71,"September","2009",41
258,"September","2009",42
95,"September","2009",43
106,"September","2009",44
101,"September","2009",45
102,"September","2009",46
85,"September","2009",47
71,"September","2009",48
125,"September","2009",49
89,"September","2009",50
147,"September","2010",1
276,"September","2010",2
185,"September","2010",3
123,"September","2010",4
202,"September","2010",5
259,"September","2010",6
185,"September","2010",7
190,"September","2010",8
197,"September","2010",9
120,"September","2010",10
108,"September","2010",11
80,"September","2010",12
84,"September","2010",13
99,"September","2010",14
226,"September","2010",15
206,"September","2010",16
256,"September","2010",17
126,"September","2010",18
79,"September","2010",19
267,"September","2010",20
247,"September","2010",21
87,"September","2010",22
78,"September","2010",23
268,"September","2010",24
91,"September","2010",25
135,"September","2010",26
264,"September","2010",27
318,"September","2010",28
168,"September","2010",29
115,"September","2010",30
106,"September","2010",31
147,"September","2010",32
89,"September","2010",33
175,"September","2010",34
104,"September","2010",35
93,"September","2010",36
194,"September","2010",37
77,"September","2010",38
99,"September","2010",39
74,"September","2010",40
73,"September","2010",41
247,"September","2010",42
110,"September","2010",43
117,"September","2010",44
63,"September","2010",45
97,"September","2010",46
86,"September","2010",47
78,"September","2010",48
87,"September","2010",49
81,"September","2010",50
124,"September","2011",1
295,"September","2011",2
162,"September","2011",3
114,"September","2011",4
170,"September","2011",5
230,"September","2011",6
184,"September","2011",7
214,"September","2011",8
200,"September","2011",9
139,"September","2011",10
89,"September","2011",11
80,"September","2011",12
92,"September","2011",13
117,"September","2011",14
203,"September","2011",15
197,"September","2011",16
232,"September","2011",17
118,"September","2011",18
