"TOTALCRIME","C_MONTH","H_YEAR","WARD"
142,"July","2009",32
79,"July","2009",33
228,"July","2009",34
108,"July","2009",35
101,"July","2009",36
236,"July","2009",37
89,"July","2009",38
63,"July","2009",39
89,"July","2009",40
84,"July","2009",41
328,"July","2009",42
116,"July","2009",43
125,"July","2009",44
88,"July","2009",45
112,"July","2009",46
83,"July","2009",47
82,"July","2009",48
129,"July","2009",49
90,"July","2009",50
154,"July","2010",1
279,"July","2010",2
179,"July","2010",3
133,"July","2010",4
201,"July","2010",5
224,"July","2010",6
200,"July","2010",7
197,"July","2010",8
198,"July","2010",9
120,"July","2010",10
94,"July","2010",11
80,"July","2010",12
69,"July","2010",13
84,"July","2010",14
237,"July","2010",15
208,"July","2010",16
286,"July","2010",17
148,"July","2010",18
87,"July","2010",19
254,"July","2010",20
256,"July","2010",21
93,"July","2010",22
92,"July","2010",23
277,"July","2010",24
99,"July","2010",25
145,"July","2010",26
306,"July","2010",27
353,"July","2010",28
184,"July","2010",29
93,"July","2010",30
112,"July","2010",31
126,"July","2010",32
100,"July","2010",33
240,"July","2010",34
113,"July","2010",35
78,"July","2010",36
197,"July","2010",37
90,"July","2010",38
75,"July","2010",39
88,"July","2010",40
56,"July","2010",41
297,"July","2010",42
112,"July","2010",43
152,"July","2010",44
78,"July","2010",45
93,"July","2010",46
88,"July","2010",47
68,"July","2010",48
122,"July","2010",49
75,"July","2010",50
138,"July","2011",1
255,"July","2011",2
214,"July","2011",3
150,"July","2011",4
193,"July","2011",5
250,"July","2011",6
220,"July","2011",7
201,"July","2011",8
174,"July","2011",9
158,"July","2011",10
83,"July","2011",11
91,"July","2011",12
114,"July","2011",13
109,"July","2011",14
251,"July","2011",15
243,"July","2011",16
255,"July","2011",17
140,"July","2011",18
72,"July","2011",19
245,"July","2011",20
241,"July","2011",21
86,"July","2011",22
79,"July","2011",23
271,"July","2011",24
89,"July","2011",25
116,"July","2011",26
272,"July","2011",27
334,"July","2011",28
182,"July","2011",29
106,"July","2011",30
113,"July","2011",31
128,"July","2011",32
85,"July","2011",33
222,"July","2011",34
92,"July","2011",35
69,"July","2011",36
215,"July","2011",37
75,"July","2011",38
59,"July","2011",39
63,"July","2011",40
76,"July","2011",41
320,"July","2011",42
121,"July","2011",43
142,"July","2011",44
77,"July","2011",45
109,"July","2011",46
67,"July","2011",47
58,"July","2011",48
118,"July","2011",49
77,"July","2011",50
136,"July","2012",1
284,"July","2012",2
202,"July","2012",3
123,"July","2012",4
204,"July","2012",5
257,"July","2012",6
190,"July","2012",7
183,"July","2012",8
192,"July","2012",9
118,"July","2012",10
130,"July","2012",11
103,"July","2012",12
85,"July","2012",13
110,"July","2012",14
192,"July","2012",15
209,"July","2012",16
253,"July","2012",17
106,"July","2012",18
58,"July","2012",19
252,"July","2012",20
189,"July","2012",21
74,"July","2012",22
90,"July","2012",23
315,"July","2012",24
105,"July","2012",25
132,"July","2012",26
273,"July","2012",27
323,"July","2012",28
149,"July","2012",29
73,"July","2012",30
96,"July","2012",31
137,"July","2012",32
73,"July","2012",33
208,"July","2012",34
106,"July","2012",35
73,"July","2012",36
215,"July","2012",37
92,"July","2012",38
67,"July","2012",39
76,"July","2012",40
77,"July","2012",41
297,"July","2012",42
109,"July","2012",43
142,"July","2012",44
62,"July","2012",45
125,"July","2012",46
70,"July","2012",47
96,"July","2012",48
114,"July","2012",49
64,"July","2012",50
91,"July","2013",1
249,"July","2013",2
163,"July","2013",3
106,"July","2013",4
181,"July","2013",5
237,"July","2013",6
181,"July","2013",7
192,"July","2013",8
174,"July","2013",9
124,"July","2013",10
66,"July","2013",11
82,"July","2013",12
91,"July","2013",13
88,"July","2013",14
170,"July","2013",15
184,"July","2013",16
239,"July","2013",17
99,"July","2013",18
58,"July","2013",19
246,"July","2013",20
203,"July","2013",21
91,"July","2013",22
74,"July","2013",23
256,"July","2013",24
122,"July","2013",25
106,"July","2013",26
220,"July","2013",27
329,"July","2013",28
145,"July","2013",29
88,"July","2013",30
68,"July","2013",31
109,"July","2013",32
64,"July","2013",33
189,"July","2013",34
66,"July","2013",35
53,"July","2013",36
165,"July","2013",37
64,"July","2013",38
49,"July","2013",39
69,"July","2013",40
73,"July","2013",41
313,"July","2013",42
71,"July","2013",43
109,"July","2013",44
84,"July","2013",45
85,"July","2013",46
70,"July","2013",47
68,"July","2013",48
80,"July","2013",49
61,"July","2013",50
106,"July","2014",1
204,"July","2014",2
167,"July","2014",3
89,"July","2014",4
145,"July","2014",5
223,"July","2014",6
163,"July","2014",7
190,"July","2014",8
154,"July","2014",9
125,"July","2014",10
76,"July","2014",11
93,"July","2014",12
69,"July","2014",13
93,"July","2014",14
147,"July","2014",15
166,"July","2014",16
204,"July","2014",17
99,"July","2014",18
49,"July","2014",19
181,"July","2014",20
202,"July","2014",21
75,"July","2014",22
63,"July","2014",23
269,"July","2014",24
77,"July","2014",25
87,"July","2014",26
224,"July","2014",27
281,"July","2014",28
136,"July","2014",29
71,"July","2014",30
77,"July","2014",31
111,"July","2014",32
49,"July","2014",33
170,"July","2014",34
60,"July","2014",35
51,"July","2014",36
157,"July","2014",37
53,"July","2014",38
60,"July","2014",39
60,"July","2014",40
77,"July","2014",41
284,"July","2014",42
86,"July","2014",43
87,"July","2014",44
54,"July","2014",45
71,"July","2014",46
50,"July","2014",47
53,"July","2014",48
84,"July","2014",49
59,"July","2014",50
