"TOTALCRIME","C_MONTH","H_YEAR","WARD"
286,"June","2007",3
197,"June","2007",4
221,"June","2007",5
288,"June","2007",6
249,"June","2007",7
223,"June","2007",8
218,"June","2007",9
144,"June","2007",10
109,"June","2007",11
98,"June","2007",12
125,"June","2007",13
121,"June","2007",14
262,"June","2007",15
254,"June","2007",16
361,"June","2007",17
160,"June","2007",18
80,"June","2007",19
329,"June","2007",20
274,"June","2007",21
113,"June","2007",22
130,"June","2007",23
305,"June","2007",24
117,"June","2007",25
170,"June","2007",26
303,"June","2007",27
404,"June","2007",28
204,"June","2007",29
120,"June","2007",30
123,"June","2007",31
119,"June","2007",32
89,"June","2007",33
287,"June","2007",34
130,"June","2007",35
91,"June","2007",36
263,"June","2007",37
101,"June","2007",38
83,"June","2007",39
111,"June","2007",40
92,"June","2007",41
319,"June","2007",42
115,"June","2007",43
123,"June","2007",44
75,"June","2007",45
138,"June","2007",46
87,"June","2007",47
79,"June","2007",48
131,"June","2007",49
70,"June","2007",50
155,"June","2008",1
289,"June","2008",2
237,"June","2008",3
166,"June","2008",4
192,"June","2008",5
280,"June","2008",6
237,"June","2008",7
231,"June","2008",8
199,"June","2008",9
156,"June","2008",10
120,"June","2008",11
82,"June","2008",12
119,"June","2008",13
111,"June","2008",14
247,"June","2008",15
274,"June","2008",16
289,"June","2008",17
167,"June","2008",18
100,"June","2008",19
285,"June","2008",20
297,"June","2008",21
101,"June","2008",22
112,"June","2008",23
325,"June","2008",24
131,"June","2008",25
150,"June","2008",26
257,"June","2008",27
366,"June","2008",28
191,"June","2008",29
123,"June","2008",30
108,"June","2008",31
145,"June","2008",32
84,"June","2008",33
253,"June","2008",34
98,"June","2008",35
109,"June","2008",36
241,"June","2008",37
92,"June","2008",38
82,"June","2008",39
84,"June","2008",40
94,"June","2008",41
300,"June","2008",42
118,"June","2008",43
114,"June","2008",44
98,"June","2008",45
138,"June","2008",46
90,"June","2008",47
82,"June","2008",48
134,"June","2008",49
100,"June","2008",50
148,"June","2009",1
267,"June","2009",2
216,"June","2009",3
138,"June","2009",4
178,"June","2009",5
264,"June","2009",6
228,"June","2009",7
205,"June","2009",8
191,"June","2009",9
141,"June","2009",10
120,"June","2009",11
87,"June","2009",12
108,"June","2009",13
101,"June","2009",14
244,"June","2009",15
239,"June","2009",16
277,"June","2009",17
139,"June","2009",18
80,"June","2009",19
284,"June","2009",20
213,"June","2009",21
99,"June","2009",22
124,"June","2009",23
243,"June","2009",24
96,"June","2009",25
158,"June","2009",26
283,"June","2009",27
324,"June","2009",28
195,"June","2009",29
137,"June","2009",30
95,"June","2009",31
118,"June","2009",32
76,"June","2009",33
243,"June","2009",34
106,"June","2009",35
101,"June","2009",36
199,"June","2009",37
70,"June","2009",38
83,"June","2009",39
68,"June","2009",40
76,"June","2009",41
282,"June","2009",42
81,"June","2009",43
99,"June","2009",44
80,"June","2009",45
121,"June","2009",46
77,"June","2009",47
66,"June","2009",48
101,"June","2009",49
85,"June","2009",50
138,"June","2010",1
300,"June","2010",2
197,"June","2010",3
133,"June","2010",4
165,"June","2010",5
237,"June","2010",6
185,"June","2010",7
200,"June","2010",8
193,"June","2010",9
144,"June","2010",10
101,"June","2010",11
98,"June","2010",12
108,"June","2010",13
123,"June","2010",14
228,"June","2010",15
221,"June","2010",16
256,"June","2010",17
158,"June","2010",18
72,"June","2010",19
258,"June","2010",20
239,"June","2010",21
90,"June","2010",22
83,"June","2010",23
261,"June","2010",24
94,"June","2010",25
157,"June","2010",26
247,"June","2010",27
326,"June","2010",28
174,"June","2010",29
109,"June","2010",30
112,"June","2010",31
114,"June","2010",32
74,"June","2010",33
221,"June","2010",34
100,"June","2010",35
91,"June","2010",36
222,"June","2010",37
83,"June","2010",38
78,"June","2010",39
99,"June","2010",40
77,"June","2010",41
265,"June","2010",42
123,"June","2010",43
113,"June","2010",44
78,"June","2010",45
90,"June","2010",46
58,"June","2010",47
68,"June","2010",48
117,"June","2010",49
73,"June","2010",50
137,"June","2011",1
296,"June","2011",2
200,"June","2011",3
131,"June","2011",4
185,"June","2011",5
226,"June","2011",6
206,"June","2011",7
210,"June","2011",8
199,"June","2011",9
151,"June","2011",10
89,"June","2011",11
109,"June","2011",12
101,"June","2011",13
119,"June","2011",14
246,"June","2011",15
213,"June","2011",16
277,"June","2011",17
151,"June","2011",18
49,"June","2011",19
256,"June","2011",20
254,"June","2011",21
85,"June","2011",22
82,"June","2011",23
284,"June","2011",24
104,"June","2011",25
140,"June","2011",26
235,"June","2011",27
332,"June","2011",28
203,"June","2011",29
115,"June","2011",30
95,"June","2011",31
119,"June","2011",32
80,"June","2011",33
192,"June","2011",34
106,"June","2011",35
68,"June","2011",36
195,"June","2011",37
79,"June","2011",38
66,"June","2011",39
62,"June","2011",40
79,"June","2011",41
289,"June","2011",42
114,"June","2011",43
115,"June","2011",44
65,"June","2011",45
84,"June","2011",46
79,"June","2011",47
65,"June","2011",48
102,"June","2011",49
67,"June","2011",50
131,"June","2012",1
258,"June","2012",2
200,"June","2012",3
137,"June","2012",4
191,"June","2012",5
241,"June","2012",6
223,"June","2012",7
182,"June","2012",8
210,"June","2012",9
153,"June","2012",10
78,"June","2012",11
82,"June","2012",12
72,"June","2012",13
102,"June","2012",14
227,"June","2012",15
211,"June","2012",16
223,"June","2012",17
121,"June","2012",18
60,"June","2012",19
243,"June","2012",20
194,"June","2012",21
66,"June","2012",22
80,"June","2012",23
260,"June","2012",24
99,"June","2012",25
128,"June","2012",26
257,"June","2012",27
323,"June","2012",28
173,"June","2012",29
110,"June","2012",30
106,"June","2012",31
111,"June","2012",32
54,"June","2012",33
221,"June","2012",34
86,"June","2012",35
81,"June","2012",36
177,"June","2012",37
70,"June","2012",38
67,"June","2012",39
74,"June","2012",40
80,"June","2012",41
338,"June","2012",42
112,"June","2012",43
142,"June","2012",44
75,"June","2012",45
99,"June","2012",46
81,"June","2012",47
71,"June","2012",48
88,"June","2012",49
77,"June","2012",50
105,"June","2013",1
215,"June","2013",2
187,"June","2013",3
90,"June","2013",4
167,"June","2013",5
193,"June","2013",6
185,"June","2013",7
178,"June","2013",8
172,"June","2013",9
94,"June","2013",10
88,"June","2013",11
74,"June","2013",12
94,"June","2013",13
79,"June","2013",14
192,"June","2013",15
170,"June","2013",16
219,"June","2013",17
92,"June","2013",18
54,"June","2013",19
197,"June","2013",20
206,"June","2013",21
75,"June","2013",22
72,"June","2013",23
256,"June","2013",24
95,"June","2013",25
94,"June","2013",26
235,"June","2013",27
306,"June","2013",28
159,"June","2013",29
59,"June","2013",30
84,"June","2013",31
101,"June","2013",32
58,"June","2013",33
185,"June","2013",34
78,"June","2013",35
68,"June","2013",36
162,"June","2013",37
68,"June","2013",38
56,"June","2013",39
60,"June","2013",40
65,"June","2013",41
275,"June","2013",42
79,"June","2013",43
138,"June","2013",44
60,"June","2013",45
96,"June","2013",46
69,"June","2013",47
42,"June","2013",48
90,"June","2013",49
60,"June","2013",50
108,"June","2014",1
222,"June","2014",2
152,"June","2014",3
97,"June","2014",4
150,"June","2014",5
183,"June","2014",6
182,"June","2014",7
173,"June","2014",8
167,"June","2014",9
103,"June","2014",10
66,"June","2014",11
77,"June","2014",12
71,"June","2014",13
80,"June","2014",14
156,"June","2014",15
173,"June","2014",16
220,"June","2014",17
91,"June","2014",18
57,"June","2014",19
185,"June","2014",20
166,"June","2014",21
77,"June","2014",22
70,"June","2014",23
236,"June","2014",24
80,"June","2014",25
85,"June","2014",26
200,"June","2014",27
291,"June","2014",28
127,"June","2014",29
76,"June","2014",30
79,"June","2014",31
71,"June","2014",32
51,"June","2014",33
158,"June","2014",34
72,"June","2014",35
46,"June","2014",36
135,"June","2014",37
57,"June","2014",38
32,"June","2014",39
51,"June","2014",40
71,"June","2014",41
234,"June","2014",42
100,"June","2014",43
96,"June","2014",44
76,"June","2014",45
84,"June","2014",46
50,"June","2014",47
52,"June","2014",48
72,"June","2014",49
59,"June","2014",50
