WARD,C_MONTH,Risk
32,February,L
33,February,VL
34,February,H
35,February,L
36,February,VL
37,February,H
38,February,VL
39,February,L
40,February,L
41,February,VL
42,February,VH
43,February,VL
44,February,L
45,February,VL
46,February,L
47,February,VL
48,February,VL
49,February,L
50,February,L
1,January,H
2,January,VH
3,January,VH
4,January,H
5,January,H
6,January,VH
7,January,VH
8,January,H
9,January,H
10,January,H
11,January,L
12,January,L
13,January,L
14,January,L
15,January,VH
16,January,VH
17,January,VH
18,January,H
19,January,VL
20,January,VH
21,January,VH
22,January,VL
23,January,L
24,January,VH
25,January,L
26,January,H
27,January,VH
28,January,VH
29,January,H
30,January,L
31,January,L
32,January,H
33,January,L
34,January,H
35,January,L
36,January,VL
37,January,H
38,January,VL
39,January,VL
40,January,VL
41,January,VL
42,January,VH
43,January,L
44,January,L
45,January,VL
46,January,L
47,January,VL
48,January,VL
49,January,L
50,January,VL
1,July,H
2,July,VH
3,July,VH
4,July,H
5,July,H
6,July,VH
7,July,H
8,July,H
9,July,H
10,July,L
11,July,L
12,July,L
13,July,L
14,July,L
15,July,VH
16,July,VH
17,July,VH
18,July,L
19,July,VL
20,July,VH
21,July,VH
22,July,VL
23,July,L
24,July,VH
25,July,L
26,July,H
27,July,VH
28,July,VH
29,July,H
30,July,L
31,July,L
32,July,H
33,July,VL
34,July,VH
35,July,L
36,July,VL
37,July,VH
38,July,VL
39,July,VL
40,July,VL
41,July,VL
42,July,VH
43,July,L
44,July,L
45,July,VL
46,July,L
47,July,VL
48,July,VL
49,July,L
50,July,VL
1,June,
2,June,VH
3,June,VH
4,June,H
5,June,H
6,June,CH
7,June,CH
8,June,CH
9,June,H
10,June,H
11,June,L
12,June,L
13,June,L
14,June,L
15,June,VH
16,June,VH
17,June,VH
18,June,H
19,June,VL
20,June,VH
21,June,VH
22,June,VL
23,June,L
24,June,VH
25,June,L
26,June,H
27,June,VH
28,June,VH
29,June,H
30,June,L
31,June,L
32,June,L
33,June,VL
34,June,VH
35,June,L
36,June,VL
37,June,VH
38,June,L
39,June,VL
40,June,VH
41,June,VL
42,June,VL
43,June,VL
44,June,VL
45,June,VH
46,June,L
47,June,L
48,June,VL
49,June,L
50,June,VL
1,March,H
2,March,VH
3,March,VH
4,March,H
5,March,H
6,March,VH
7,March,H
8,March,VH
9,March,H
10,March,H
11,March,L
12,March,L
13,March,L
14,March,L
15,March,VH
16,March,VH
17,March,VH
18,March,H
19,March,VL
20,March,VH
21,March,VH
22,March,L
23,March,L
24,March,VH
25,March,L
26,March,H
27,March,VH
28,March,VH
29,March,H
30,March,L
31,March,L
32,March,H
33,March,VL
34,March,VH
35,March,L
36,March,VL
37,March,VH
38,March,L
39,March,VL
40,March,VL
41,March,VL
42,March,VH
43,March,VL
44,March,L
45,March,VL
46,March,L
47,March,VL
48,March,VL
49,March,L
50,March,VL
1,May,H
2,May,VH
3,May,VH
4,May,H
5,May,H
6,May,VH
7,May,H
8,May,VH
9,May,H
10,May,H
11,May,L
12,May,L
13,May,L
14,May,L
15,May,VH
16,May,VH
17,May,VH
18,May,H
19,May,VL
20,May,VH
21,May,VH
22,May,VL
23,May,L
24,May,VH
25,May,L
26,May,H
27,May,VH
28,May,VH
29,May,H
30,May,L
31,May,L
32,May,H
33,May,VL
34,May,VH
35,May,L
36,May,VL
37,May,VH
38,May,VL
39,May,VL
40,May,VL
41,May,VL
42,May,VH
43,May,VL
44,May,L
45,May,VL
46,May,L
47,May,VL
48,May,VL
49,May,L
50,May,VL
1,November,H
2,November,VH
3,November,VH
4,November,H
5,November,H
6,November,VH
7,November,VH
8,November,VH
9,November,H
10,November,L
11,November,L
12,November,L
13,November,L
14,November,L
15,November,VH
16,November,VH
17,November,VH
18,November,H
19,November,VL
20,November,VH
21,November,VH
22,November,L
23,November,L
24,November,VH
25,November,L
26,November,L
27,November,VH
28,November,VH
29,November,H
30,November,L
31,November,L
32,November,H
33,November,VL
34,November,VH
35,November,L
36,November,VL
37,November,VH
38,November,L
39,November,VL
40,November,VL
41,November,VL
42,November,VH
43,November,L
44,November,L
45,November,VL
46,November,L
47,November,VL
48,November,VL
49,November,L
50,November,VL
1,October,
2,October,VH
3,October,VH
4,October,H
5,October,H
6,October,VH
7,October,VH
8,October,VH
9,October,H
10,October,H
11,October,L
12,October,L
13,October,L
14,October,L
15,October,VH
16,October,VH
17,October,VH
18,October,H
19,October,VL
20,October,VH
21,October,VH
22,October,L
23,October,L
24,October,L
25,October,H
26,October,VH
27,October,VH
28,October,H
29,October,L
30,October,L
31,October,H
32,October,VL
33,October,VH
34,October,L
35,October,VL
36,October,VH
37,October,VL
38,October,VL
39,October,VL
40,October,VL
41,October,VH
42,October,L
43,October,L
44,October,VL
45,October,L
46,October,VL
47,October,VL
48,October,L
49,October,VL
50,October,VL
1,September,H
2,September,VH
3,September,VH
4,September,H
5,September,H
6,September,VH
7,September,H
8,September,VH
9,September,H
10,September,H
11,September,L
12,September,L
13,September,VL
14,September,L
15,September,VH
16,September,VH
17,September,VH
18,September,H
19,September,VL
20,September,VH
21,September,VH
22,September,VL
